ParticipantID(1to12),condition(1to3),Target(1to7),Trial(1to20),PosTargetX,PosTargetY,PosX,PosY
1,1,6,1,0.1735,0.20961,0.17015,0.22061
1,1,6,2,0.17353,0.20959,0.16284,0.23335
1,1,6,3,0.17353,0.20959,0.17445,0.23858
1,1,6,4,0.17353,0.20959,0.17791,0.21528
1,1,6,5,0.17349,0.20962,0.16807,0.21884
1,1,6,6,0.17349,0.20962,0.15839,0.2289
1,1,6,7,0.17359,0.20955,0.16327,0.24744
1,1,6,8,0.17353,0.20959,0.15197,0.24855
1,1,6,9,0.1735,0.20961,0.15742,0.22819
1,1,6,10,0.1735,0.20961,0.1616,0.23868
1,1,6,11,0.1735,0.20961,0.15915,0.21758
1,1,6,12,0.1735,0.20961,0.1539,0.24066
1,1,6,13,0.17359,0.20955,0.15145,0.22792
1,1,6,14,0.1735,0.20961,0.15325,0.22271
1,1,6,15,0.1735,0.20961,0.14503,0.24928
1,1,6,16,0.17353,0.20959,0.16802,0.23665
1,1,6,17,0.17353,0.20959,0.16304,0.24705
1,1,6,18,0.17353,0.20959,0.14591,0.22984
1,1,6,19,0.17349,0.20962,0.17198,0.2233
1,1,6,20,0.17349,0.20962,0.16262,0.24475
1,1,7,1,0.2338,0.13768,0.23691,0.15468
1,1,7,2,0.2338,0.13768,0.23997,0.15339
1,1,7,3,0.2338,0.13768,0.2485,0.15496
1,1,7,4,0.23376,0.13774,0.23491,0.15558
1,1,7,5,0.23376,0.13774,0.23265,0.14319
1,1,7,6,0.23375,0.13777,0.22688,0.14788
1,1,7,7,0.2338,0.13768,0.23518,0.16196
1,1,7,8,0.23375,0.13777,0.20832,0.14607
1,1,7,9,0.23376,0.13774,0.20411,0.1452
1,1,7,10,0.23374,0.13778,0.21222,0.15123
1,1,7,11,0.23374,0.13778,0.21945,0.15763
1,1,7,12,0.23374,0.13778,0.21192,0.16147
1,1,7,13,0.23374,0.13778,0.21624,0.14385
1,1,7,14,0.23374,0.13778,0.22239,0.15587
1,1,7,15,0.23374,0.13778,0.21768,0.16673
1,1,7,16,0.23374,0.13778,0.21784,0.14444
1,1,7,17,0.23375,0.13777,0.23099,0.14679
1,1,7,18,0.23375,0.13777,0.22498,0.15975
1,1,7,19,0.23376,0.13774,0.21912,0.15656
1,1,7,20,0.2338,0.13768,0.2255,0.15609
1,2,1,1,-2.1588e-05,0.12282,0.00082775,0.1464
1,2,1,2,-2.1588e-05,0.12282,-0.010181,0.13915
1,2,1,3,3.6863e-18,0.12282,-0.015534,0.1487
1,2,1,4,3.6863e-18,0.12282,-0.008864,0.1516
1,2,1,5,-3.1264e-05,0.12282,-0.0088775,0.15318
1,2,1,6,-3.6802e-05,0.12282,-0.013553,0.14532
1,2,1,7,-3.6802e-05,0.12282,-0.021107,0.15394
1,2,1,8,-3.6802e-05,0.12282,-0.019693,0.14858
1,2,1,9,-3.6802e-05,0.12282,-0.01656,0.15325
1,2,1,10,-3.1264e-05,0.12282,-0.013452,0.15997
1,2,1,11,-3.1264e-05,0.12282,-0.02273,0.17389
1,2,1,12,3.6863e-18,0.12282,-0.018541,0.17715
1,2,1,13,-2.1588e-05,0.12282,-0.019084,0.15427
1,2,1,14,-2.1588e-05,0.12282,-0.017099,0.1713
1,2,1,15,-2.1588e-05,0.12282,-0.010229,0.14708
1,2,1,16,-2.1588e-05,0.12282,-0.021815,0.15454
1,2,1,17,-2.1588e-05,0.12282,-0.020625,0.16426
1,2,1,18,-3.1264e-05,0.12282,-0.019168,0.17167
1,2,1,19,-3.1264e-05,0.12282,-0.014416,0.16203
1,2,1,20,3.6863e-18,0.12282,-0.020664,0.1835
1,2,2,1,-2.4505e-05,0.19782,-0.022618,0.25439
1,2,2,2,-1.5584e-05,0.19782,-0.014184,0.23107
1,2,2,3,1.1926e-18,0.19782,0.0023603,0.23777
1,2,2,4,1.1926e-18,0.19782,-0.019192,0.246
1,2,2,5,3.4771e-05,0.19782,-0.0077546,0.24432
1,2,2,6,3.4771e-05,0.19782,-0.032258,0.25582
1,2,2,7,-2.4505e-05,0.19782,-0.024533,0.2517
1,2,2,8,-2.4505e-05,0.19782,-0.029385,0.2377
1,2,2,9,-2.4505e-05,0.19782,-0.01446,0.25299
